"","distn","parama","paramb","n"
"root_turnover_rate","weibull",1.55,0.862,47
"root_respiration_rate","gamma",4.95,0.762,36
"SLA","gamma",5.13,0.234,593
"Amax","unif",0,40,NA
"leafC","norm",48.3,4,387
"leaf_respiration_rate_m2","weibull",2,6,NA
"stem_respiration_rate","unif",0,100,NA
"half_saturation_PAR","unif",4,27,NA
"dVPDSlope","unif",0.01,0.25,NA
"dVpdExp","unif",1,3,NA
"veg_respiration_Q10","unif",1.4,2.6,NA
"fine_root_respiration_Q10","unif",1.4,5,NA
"coarse_root_respiration_Q10","unif",1.4,5,NA
"fracLeafFall","unif",0.99,1,NA
"extinction_coefficient_diffuse","gamma",5,10,NA
"leaf_allocation_fraction","beta",8.9103,18.9848,0
"root_allocation_fraction","beta",15.2563,19.7635,0
"Vm_low_temp","unif",-7,7,NA
"psnTOpt","norm",30,5,NA
"leafGrowth","norm",120,25,NA
"AmaxFrac","weibull",124.5,0.89,NA
"wood_allocation_fraction","beta",5,40,NA
"leaf_turnover_rate","unif",0.5,1,NA
"wood_turnover_rate","beta",1,15,NA
"growth_resp_factor","beta",2.3,6.6,NA
