"id","genus","species","scientificname"
17,"Acer","","Acer"
18,"Acer","barbatum","Acer barbatum"
21,"Acer","grandidentatum","Acer grandidentatum"
24,"Acer","negundo","Acer negundo"
28,"Acer","platanoides","Acer platanoides"
30,"Acer","rubrum","Acer rubrum"
31,"Acer","saccharinum","Acer saccharinum"
32,"Acer","saccharum","Acer saccharum"
33,"Acer","spicatum","Acer spicatum"
46,"Aesculus","","Aesculus"
47,"Aesculus","flava","Aesculus flava"
48,"Aesculus","glabra","Aesculus glabra"
49,"Aesculus","glabra","Aesculus glabra var arguta"
78,"Alnus","","Alnus"
80,"Alnus","glutinosa","Alnus glutinosa"
82,"Alnus","rhombifolia","Alnus rhombifolia"
83,"Alnus","rubra","Alnus rubra"
92,"Amelanchier","","Amelanchier"
94,"Amelanchier","arborea","Amelanchier arborea"
96,"Amelanchier","sanguinea","Amelanchier sanguinea"
181,"Betula","","Betula"
182,"Betula","alba","Betula papyrifera var. cordifolia"
183,"Betula","alleghaniensis","Betula alleghaniensis"
187,"Betula","lenta","Betula lenta"
189,"Betula","nigra","Betula nigra"
190,"Betula","papyrifera","Betula papyrifera"
245,"Calycanthus","floridus","Calycanthus floridus"
265,"Carpinus","caroliniana","Carpinus caroliniana"
266,"Carya","","Carya"
271,"Carya","cordiformis","Carya cordiformis"
276,"Carya","ovalis","Carya ovalis"
277,"Carya","ovata","Carya ovata"
295,"Catalpa","","Catalpa"
296,"Catalpa","bignoniodes","Catalpa bignoniodes"
297,"Catalpa","speciosa","Catalpa speciosa"
307,"Celtis","","Celtis"
311,"Celtis","occidentalis","Celtis occidentalis"
349,"Cladrastis","kentukea","Cladrastis kentukea"
387,"Cornus","florida","Cornus florida"
393,"Corylus","americana","Corylus americana"
397,"Crataegus","","Crataegus"
398,"Crataegus","crus-galli","Crataegus crus-galli"
400,"Crataegus","mollis","Crataegus mollis"
450,"Diospyros","","Diospyros"
452,"Diospyros","texana","Diospyros texana"
454,"Diospyros","virginiana","Diospyros virginiana"
480,"Elaeagnus","angustifolia","Elaeagnus angustifolia"
546,"Fagus","grandifolia","Fagus grandifolia"
555,"Ficus","aurea","Ficus aurea"
569,"Fraxinus","americana","Fraxinus americana"
574,"Fraxinus","nigra","Fraxinus nigra"
575,"Fraxinus","pennsylvanica","Fraxinus pennsylvanica"
576,"Fraxinus","profunda","Fraxinus profunda"
602,"Gleditsia","","Gleditsia"
604,"Gleditsia","triacanthos","Gleditsia triacanthos"
627,"Gymnocladus","dioicus","Gymnocladus dioicus"
634,"Halesia","","Halesia"
635,"Halesia","carolina","Halesia carolina"
636,"Halesia","parviflora","Halesia parviflora"
671,"Ilex","ambigua","Ilex ambigua"
675,"Ilex","montana","Ilex montana"
713,"Juglans","","Juglans"
714,"Juglans","cinerea","Juglans cinera"
715,"Juglans","nigra","Juglans nigra"
787,"Liquidambar","styraciflua","Liquidambar styraciflua"
788,"Liriodendron","tulipifera","Liriodendron tulipifera"
814,"Maclura","pomifera","Maclura pomifera"
826,"Malus","","Malus"
828,"Malus","coronaria","Malus coronaria"
829,"Malus","fusca","Malus fusca"
830,"Malus","ioensis","Malus ioensis"
876,"Morus","alba","Morus alba"
877,"Morus","rubra","Morus rubra"
924,"Ostrya","virginiana","Ostrya virginiana"
928,"Oxydendrum","arboreum","Oxydendrum arboreum"
945,"Paulownia","tomentosa","Paulownia tomentosa"
1037,"Platanus","occidentalis","Platanus occidentalis"
1038,"Platanus","","Platanus"
1068,"Populus","","Populus"
1069,"Populus","alba","Populus alba"
1070,"Populus","balsamifera","Populus balsamifera"
1071,"Populus","deltoides","Populus deltoides sub monilifera"
1072,"Populus","deltoides","Populus deltoides"
1076,"Populus","grandidentata","Populus grandidentata"
1080,"Populus","tremuloides","Populus tremuloides"
1094,"Prunus","","Prunus"
1095,"Prunus","americana","Prunus americana"
1096,"Prunus","avium","Prunus avium"
1099,"Prunus","nigra","Prunus nigra"
1100,"Prunus","pensylvanica","Prunus pensylvanica"
1103,"Prunus","serotina","Prunus serotina"
1105,"Prunus","virginiana","Prunus virginiana"
1130,"Quercus","alba","Quercus alba"
1131,"Quercus","bicolor","Quercus bicolor"
1137,"Quercus","ellipsoidalis","Quercus ellipsoidalis"
1150,"Quercus","macrocarpa","Quercus macrocarpa"
1164,"Quercus","prinus","Quercus prinus"
1170,"Quercus","rubra","Quercus rubra"
1171,"Quercus","rubra","Quercus rubra var. ambigua"
1178,"Quercus","velutina","Quercus velutina"
1215,"Robinia","pseudoacacia","Robinia pseudoacacia"
1243,"Salix","","Salix"
1244,"Salix","alba","Salix alba"
1248,"Salix","bebbiana","Salix bebbiana"
1251,"Salix","caroliniana","Salix caroliniana"
1257,"Salix","nigra","Salix nigra"
1262,"Salix","sepulcralis","Salix sepulcralis"
1274,"Sapindus","saponaria","Sapindus saponaria var drummondii"
1276,"Sassafras","albidum","Sassafras albidum"
1301,"Sideroxylon","lanuginosum","Sideroxylon lanuginosum ssp. lanuginosum"
1326,"Sorbus","americana","Sorbus americana"
1327,"Sorbus","aucuparia","Sorbus aucuparia"
1357,"Symplocos","tinctoria","Symplocos tinctoria"
1390,"Tilia","","Tilia"
1391,"Tilia","americana","Tilia americana"
1392,"Tilia","americana","Tilia americana var caroliniana"
1393,"Tilia","americana","Tilia americana var. heterophylla"
1394,"Tilia","cordata","Tilia cordata"
1429,"Ulmus","americana","Ulmus americana"
1433,"Ulmus","pumila","Ulmus pumila"
1434,"Ulmus","rubra","Ulmus rubra"
1436,"Ulmus","thomasii","Ulmus thomasii"
1459,"Vernicia","fordii","Vernicia fordii"
2068,"Populus","balsimifera ssp. trichocarpa","Populus balsamifera ssp. trichocarpa"
2860,"Populus","deltoides × nigra","P. deltoides × P. nigra"
2864,"Populus","","Populus spp."
2866,"Populus","deltoides × trichocarpa","P. deltoides × P. trichocarpa"
8917,"Acer","","Acer saccharum var. saccharum"
8929,"Acer","","Acer saccharum var. schneckii"
