"","distn","parama","paramb","n"
"root_turnover_rate","weibull",1.55,0.862,47
"root_respiration_rate","lnorm",2.07,0.4,39
"leaf_turnover_rate","unif",0.04,1,NA
"Amax","unif",0,40,NA
"leaf_respiration_rate_m2","weibull",2,6,NA
"SLA","lnorm",1.89,0.61,455
"leafC","norm",50.6,1.32,291
"Vm_low_temp","norm",0,3,NA
"stem_respiration_rate","unif",0,100,NA
"extinction_coefficient","unif",0.38,0.62,NA
"veg_respiration_Q10","unif",1.4,2.6,NA
"fine_root_respiration_Q10","unif",1.4,5,NA
"coarse_root_respiration_Q10","unif",1.4,5,NA
"fracLeafFall","unif",0.001,0.1,NA
"leaf_allocation_fraction","beta",8.9103,18.9848,0
"root_allocation_fraction","beta",15.2563,19.7635,0
"psnTOpt","norm",30,5,NA
"leafGrowth","norm",120,25,NA
"wood_allocation_fraction","beta",5,40,NA
"half_saturation_PAR","norm",16,4.5,NA
"dVPDSlope","norm",0.15,0.04,NA
"dVpdExp","norm",2.3,0.4,NA
"AmaxFrac","norm",0.5,0.12,NA
"wood_turnover_rate","norm",0.5,0.12,NA
"growth_resp_factor","beta",2.3,6.6,NA
